
03/21	NaN	      Nifty 50	      10124.35	      10181.95	      10227.30	      10132.95	      10155.25	          30.9
03/22	NaN	      Nifty 50	      10155.25	      10167.50	      10207.85	      10105.40	      10114.75	         -40.5
03/23	NaN	      Nifty 50	      10114.75	       9968.80	      10027.70	       9951.90	       9998.05	        -116.7
03/26	NaN	      Nifty 50	       9998.05	       9989.15	      10143.50	       9958.55	      10130.65	         132.6
03/27	NaN	      Nifty 50	      10130.65	      10188.00	      10207.90	      10139.65	      10184.15	          53.5
03/28	NaN	      Nifty 50	      10184.15	      10143.60	      10158.35	      10096.90	      10113.70	        -70.45
04/02	NaN	      Nifty 50	      10113.70	      10151.65	      10220.10	      10127.75	      10211.80	          98.1
04/03	NaN	      Nifty 50	      10211.80	      10186.85	      10255.35	      10171.05	      10245.00	          33.2
04/04	NaN	      Nifty 50	      10245.00	      10274.60	      10279.85	      10111.30	      10128.40	        -116.6
04/05	NaN	      Nifty 50	      10128.40	      10228.45	      10331.80	      10227.45	      10325.15	        196.75
04/06	NaN	      Nifty 50	      10325.15	      10322.75	      10350.45	      10290.85	      10331.60	          6.45
04/09	NaN	      Nifty 50	      10331.60	      10333.70	      10397.70	      10328.50	      10379.35	         47.75
04/10	NaN	      Nifty 50	      10379.35	      10412.90	      10424.85	      10381.50	      10402.25	          22.9
04/11	NaN	      Nifty 50	      10402.25	      10428.15	      10428.15	      10355.60	      10417.15	          14.9
04/12	NaN	      Nifty 50	      10417.15	      10410.65	      10469.90	      10395.25	      10458.65	          41.5
04/13	NaN	      Nifty 50	      10458.65	      10495.30	      10519.90	      10451.45	      10480.60	         21.95
04/16	NaN	      Nifty 50	      10480.60	      10398.30	      10540.15	      10396.35	      10528.35	         47.75
04/17	NaN	      Nifty 50	      10528.35	      10557.30	      10560.45	      10495.65	      10548.70	         20.35
04/18	NaN	      Nifty 50	      10548.70	      10578.90	      10594.20	      10509.70	      10526.20	         -22.5
04/19	NaN	      Nifty 50	      10526.20	      10563.65	      10572.20	      10546.20	      10565.30	          39.1
04/20	NaN	      Nifty 50	      10565.30	      10560.35	      10582.35	      10527.45	      10564.05	         -1.25
04/23	NaN	      Nifty 50	      10564.05	      10592.80	      10638.35	      10514.95	      10584.70	         20.65
04/24	NaN	      Nifty 50	      10584.70	      10578.10	      10636.80	      10569.00	      10614.35	         29.65
04/25	NaN	      Nifty 50	      10614.35	      10612.40	      10612.60	      10536.45	      10570.55	         -43.8
04/26	NaN	      Nifty 50	      10570.55	      10586.50	      10628.40	      10559.65	      10617.80	         47.25
04/27	NaN	      Nifty 50	      10617.80	      10651.65	      10719.80	      10647.55	      10692.30	          74.5
04/30	NaN	      Nifty 50	      10692.30	      10705.75	      10759.00	      10704.60	      10739.35	         47.05
05/02	NaN	      Nifty 50	      10739.35	      10783.85	      10784.65	      10689.80	      10718.05	         -21.3
05/03	NaN	      Nifty 50	      10718.05	      10720.15	      10720.60	      10647.45	      10679.65	         -38.4
05/04	NaN	      Nifty 50	      10679.65	      10700.45	      10700.45	      10601.60	      10618.25	         -61.4
05/07	NaN	      Nifty 50	      10618.25	      10653.15	      10725.65	      10635.65	      10715.50	         97.25
