
02/27	DRREDDY	            EQ	       2236.00	       2193.80	          1.92
02/27	BHARTIARTL	            EQ	        430.50	        423.15	          1.74
02/27	NTPC	            EQ	        165.55	        162.95	           1.6
02/27	HEROMOTOCO	            EQ	       3585.50	       3537.85	          1.35
02/27	RELIANCE	            EQ	        950.50	        938.70	          1.26

02/28	INFY	            EQ	       1172.60	       1150.20	          1.95
02/28	UPL	            EQ	        728.75	        721.15	          1.05
02/28	EICHERMOT	            EQ	      27437.75	      27154.65	          1.04
02/28	ASIANPAINT	            EQ	       1117.75	       1110.35	           .67
02/28	BPCL	            EQ	        429.55	        426.95	           .61

03/01	BPCL	            EQ	        441.90	        429.55	          2.88
03/01	AUROPHARMA	            EQ	        624.10	        613.90	          1.66
03/01	COALINDIA	            EQ	        312.90	        309.15	          1.21
03/01	INDUSINDBK	            EQ	       1700.35	       1680.75	          1.17
03/01	BAJFINANCE	            EQ	       1659.35	       1640.25	          1.16

03/05	TECHM	            EQ	        630.85	        611.90	           3.1
03/05	SUNPHARMA	            EQ	        548.55	        535.40	          2.46
03/05	TCS	            EQ	       3105.85	       3037.70	          2.24
03/05	M&M	            EQ	        739.60	        732.55	           .96
03/05	UPL	            EQ	        720.90	        714.25	           .93

03/06	BPCL	            EQ	        445.20	        434.30	          2.51
03/06	ZEEL	            EQ	        559.50	        551.85	          1.39
03/06	ULTRACEMCO	            EQ	       4150.30	       4095.40	          1.34
03/06	INDUSINDBK	            EQ	       1710.30	       1689.20	          1.25
03/06	AUROPHARMA	            EQ	        606.20	        600.75	           .91

03/07	HCLTECH	            EQ	        949.55	        932.80	           1.8
03/07	ITC	            EQ	        259.90	        256.50	          1.33
03/07	ZEEL	            EQ	        565.10	        559.50	             1
03/07	MARUTI	            EQ	       8679.10	       8616.50	           .73
03/07	ASIANPAINT	            EQ	       1107.25	       1101.60	           .51

03/08	SBIN	            EQ	        256.80	        246.65	          4.12
03/08	ICICIBANK	            EQ	        296.95	        286.70	          3.58
03/08	ADANIPORTS	            EQ	        387.95	        376.95	          2.92
03/08	M&M	            EQ	        726.65	        707.80	          2.66
03/08	RELIANCE	            EQ	        911.45	        889.75	          2.44

03/09	TECHM	            EQ	        619.20	        607.20	          1.98
03/09	BAJFINANCE	            EQ	       1654.20	       1628.05	          1.61
03/09	HDFC	            EQ	       1818.60	       1798.75	           1.1
03/09	TCS	            EQ	       3034.10	       3003.95	             1
03/09	EICHERMOT	            EQ	      27963.85	      27711.85	           .91

03/12	BHARTIARTL	            EQ	        421.55	        402.15	          4.82
03/12	VEDL	            EQ	        317.40	        304.15	          4.36
03/12	ITC	            EQ	        270.10	        259.25	          4.19
03/12	NTPC	            EQ	        171.15	        164.40	          4.11
03/12	IOC	            EQ	        400.65	        385.50	          3.93

03/13	BPCL	            EQ	        466.65	        446.75	          4.45
03/13	HINDPETRO	            EQ	        382.95	        366.75	          4.42
03/13	INFRATEL	            EQ	        349.00	        339.50	           2.8
03/13	AXISBANK	            EQ	        531.50	        519.20	          2.37
03/13	GAIL	            EQ	        455.95	        446.45	          2.13

03/14	TECHM	            EQ	        639.10	        619.15	          3.22
