
06/11	ZEEL	            EQ	        567.15	        557.35	          1.76

06/12	LUPIN	            EQ	        855.00	        809.50	          5.62
06/12	DRREDDY	            EQ	       2190.65	       2083.20	          5.16
06/12	SBIN	            EQ	        282.85	        274.00	          3.23
06/12	INDUSINDBK	            EQ	       1954.75	       1904.80	          2.62
06/12	HINDUNILVR	            EQ	       1638.45	       1601.40	          2.31

06/13	DRREDDY	            EQ	       2256.30	       2190.65	             3
06/13	CIPLA	            EQ	        582.10	        567.10	          2.65
06/13	TCS	            EQ	       1824.10	       1781.00	          2.42
06/13	LUPIN	            EQ	        871.90	        855.00	          1.98
06/13	HINDALCO	            EQ	        245.00	        240.65	          1.81

06/14	LUPIN	            EQ	        899.60	        871.90	          3.18
06/14	SUNPHARMA	            EQ	        559.25	        546.30	          2.37
06/14	HCLTECH	            EQ	        936.95	        923.70	          1.43
06/14	YESBANK	            EQ	        337.20	        333.20	           1.2
06/14	CIPLA	            EQ	        588.05	        582.10	          1.02

06/15	CIPLA	            EQ	        611.60	        588.05	             4
06/15	DRREDDY	            EQ	       2349.85	       2269.40	          3.54
06/15	INFY	            EQ	       1281.25	       1239.70	          3.35
06/15	TCS	            EQ	       1840.05	       1787.55	          2.94
06/15	UPL	            EQ	        700.70	        684.90	          2.31

06/18	HINDPETRO	            EQ	        322.10	        306.35	          5.14
06/18	ICICIBANK	            EQ	        293.00	        282.50	          3.72
06/18	IOC	            EQ	        173.90	        167.75	          3.67
06/18	BPCL	            EQ	        423.10	        412.25	          2.63
06/18	TATAMOTORS	            EQ	        308.80	        302.95	          1.93

06/19	GAIL	            EQ	        342.75	        338.10	          1.38
06/19	BAJFINANCE	            EQ	       2270.60	       2243.15	          1.22
06/19	ITC	            EQ	        266.05	        264.55	           .57
06/19	DRREDDY	            EQ	       2393.00	       2385.85	            .3
06/19	HDFC	            EQ	       1828.00	       1823.55	           .24

06/20	RELIANCE	            EQ	       1019.25	        996.05	          2.33
06/20	VEDL	            EQ	        228.70	        224.30	          1.96
06/20	INDUSINDBK	            EQ	       1967.40	       1931.50	          1.86
06/20	KOTAKBANK	            EQ	       1324.60	       1303.25	          1.64
06/20	HDFCBANK	            EQ	       2056.15	       2023.50	          1.61

06/21	IOC	            EQ	        170.25	        165.40	          2.93
06/21	BPCL	            EQ	        421.95	        410.70	          2.74
06/21	HINDPETRO	            EQ	        315.20	        307.90	          2.37
06/21	ICICIBANK	            EQ	        297.95	        293.20	          1.62
06/21	RELIANCE	            EQ	       1031.95	       1019.25	          1.25

06/22	SUNPHARMA	            EQ	        577.25	        554.50	           4.1
06/22	BAJFINANCE	            EQ	       2336.05	       2257.45	          3.48
06/22	BAJAJFINSV	            EQ	       6176.50	       5991.55	          3.09
06/22	M&M	            EQ	        908.20	        883.60	          2.78
06/22	HDFC	            EQ	       1906.75	       1858.90	          2.57

06/25	ULTRACEMCO	            EQ	       3752.00	       3641.05	          3.05
06/25	BAJFINANCE	            EQ	       2390.60	       2336.05	          2.34
06/25	INFRATEL	            EQ	        291.95	        286.00	          2.08
06/25	INFY	            EQ	       1272.45	       1247.85	          1.97
06/25	LUPIN	            EQ	        913.45	        902.90	          1.17

06/26	GRASIM	            EQ	       1036.70	       1006.55	             3
06/26	COALINDIA	            EQ	        265.15	        259.00	          2.37
06/26	ULTRACEMCO	            EQ	       3840.10	       3752.00	          2.35
06/26	HINDALCO	            EQ	        222.95	        218.40	          2.08
06/26	TCS	            EQ	       1852.00	       1819.25	           1.8

06/27	TECHM	            EQ	        714.25	        687.85	          3.84
06/27	INFRATEL	            EQ	        299.55	        292.95	          2.25
06/27	DRREDDY	            EQ	       2293.80	       2267.15	          1.18
06/27	HCLTECH	            EQ	        921.05	        910.40	          1.17
06/27	HDFCBANK	            EQ	       2112.60	       2093.70	            .9

06/28	M&M	            EQ	        907.75	        892.65	          1.69
06/28	NTPC	            EQ	        156.40	        153.80	          1.69
06/28	INFY	            EQ	       1289.60	       1270.00	          1.54
06/28	HINDALCO	            EQ	        221.05	        217.90	          1.45
06/28	KOTAKBANK	            EQ	       1339.10	       1324.20	          1.13

06/29	GAIL	            EQ	        340.25	        319.55	          6.48
06/29	TITAN	            EQ	        878.50	        836.35	          5.04
06/29	HINDALCO	            EQ	        230.50	        221.05	          4.28
06/29	TATASTEEL	            EQ	        567.75	        548.45	          3.52
06/29	BAJAJ-AUTO	            EQ	       2810.30	       2716.00	          3.47

07/02	ASIANPAINT	            EQ	       1293.05	       1264.45	          2.26
07/02	TITAN	            EQ	        897.40	        878.50	          2.15
07/02	INFY	            EQ	       1334.70	       1307.20	           2.1
07/02	VEDL	            EQ	        239.85	        236.20	          1.55
07/02	UPL	            EQ	        624.70	        618.80	           .95

07/03	CIPLA	            EQ	        640.40	        617.00	          3.79
07/03	SUNPHARMA	            EQ	        573.60	        563.15	          1.86
07/03	BAJAJFINSV	            EQ	       5885.20	       5778.30	          1.85
07/03	MARUTI	            EQ	       8975.15	       8821.05	          1.75
07/03	LUPIN	            EQ	        903.10	        889.45	          1.53

07/04	BAJAJ-AUTO	            EQ	       2979.05	       2862.40	          4.08
07/04	LUPIN	            EQ	        934.20	        903.10	          3.44
07/04	INFRATEL	            EQ	        299.50	        291.50	          2.74
07/04	MARUTI	            EQ	       9220.80	       8975.15	          2.74
07/04	BAJAJFINSV	            EQ	       6032.85	       5885.20	          2.51

07/05	YESBANK	            EQ	        348.65	        335.55	           3.9
07/05	ULTRACEMCO	            EQ	       3936.25	       3790.65	          3.84
07/05	ITC	            EQ	        272.50	        264.40	          3.06
07/05	ASIANPAINT	            EQ	       1321.40	       1289.80	          2.45
07/05	COALINDIA	            EQ	        270.30	        264.35	          2.25

07/06	HINDPETRO	            EQ	        268.05	        256.45	          4.52
07/06	HEROMOTOCO	            EQ	       3637.10	       3505.75	          3.75
07/06	TATAMOTORS	            EQ	        270.85	        261.55	          3.56
07/06	GRASIM	            EQ	        988.55	        968.60	          2.06
07/06	BAJAJ-AUTO	            EQ	       3020.10	       2966.95	          1.79

07/09	VEDL	            EQ	        226.60	        219.10	          3.42
07/09	YESBANK	            EQ	        363.30	        352.60	          3.03
07/09	ASIANPAINT	            EQ	       1363.10	       1323.15	          3.02
07/09	DRREDDY	            EQ	       2330.05	       2269.05	          2.69
07/09	AXISBANK	            EQ	        525.25	        513.70	          2.25

07/10	GAIL	            EQ	        363.95	        347.40	          4.76
07/10	HINDALCO	            EQ	        229.05	        222.05	          3.15
07/10	RELIANCE	            EQ	       1025.70	        997.10	          2.87
07/10	COALINDIA	            EQ	        278.45	        271.15	          2.69
07/10	BAJAJ-AUTO	            EQ	       3093.95	       3018.15	          2.51

07/11	TCS	            EQ	       1979.90	       1875.10	          5.59
07/11	INFRATEL	            EQ	        317.15	        305.30	          3.88
07/11	BAJAJ-AUTO	            EQ	       3161.60	       3093.95	          2.19
07/11	HINDUNILVR	            EQ	       1718.15	       1687.00	          1.85
07/11	INFY	            EQ	       1320.45	       1301.40	          1.46

07/12	RELIANCE	            EQ	       1082.35	       1038.80	          4.19
07/12	BPCL	            EQ	        377.35	        366.50	          2.96
07/12	WIPRO	            EQ	        279.45	        272.10	           2.7
07/12	BAJFINANCE	            EQ	       2415.00	       2355.60	          2.52
07/12	DRREDDY	            EQ	       2357.25	       2301.35	          2.43

07/13	TITAN	            EQ	        838.70	        808.45	          3.74
07/13	BPCL	            EQ	        386.65	        377.35	          2.46
07/13	BAJFINANCE	            EQ	       2468.60	       2415.00	          2.22
07/13	INFY	            EQ	       1317.40	       1294.35	          1.78
07/13	RELIANCE	            EQ	       1099.80	       1082.35	          1.61

07/16	TECHM	            EQ	        657.30	        641.05	          2.53
07/16	NTPC	            EQ	        155.60	        152.95	          1.73
07/16	INFY	            EQ	       1332.85	       1317.40	          1.17
07/16	IBULHSGFIN	            EQ	       1137.55	       1126.45	           .99
07/16	HDFC	            EQ	       1991.20	       1972.50	           .95

07/17	HINDPETRO	            EQ	        281.30	        264.35	          6.41
07/17	IOC	            EQ	        164.45	        157.50	          4.41
07/17	HINDALCO	            EQ	        219.50	        213.05	          3.03
07/17	AXISBANK	            EQ	        537.90	        522.10	          3.03
07/17	SBIN	            EQ	        259.05	        251.60	          2.96

07/18	IBULHSGFIN	            EQ	       1199.65	       1152.60	          4.08
07/18	ONGC	            EQ	        160.30	        156.15	          2.66
07/18	BPCL	            EQ	        402.35	        392.65	          2.47
07/18	HINDPETRO	            EQ	        286.10	        281.30	          1.71
07/18	IOC	            EQ	        167.20	        164.45	          1.67

07/19	TITAN	            EQ	        869.85	        846.20	          2.79
07/19	BHARTIARTL	            EQ	        345.00	        336.80	          2.43
07/19	YESBANK	            EQ	        392.30	        383.65	          2.25
07/19	VEDL	            EQ	        208.20	        203.70	          2.21
07/19	ITC	            EQ	        273.30	        268.55	          1.77

07/20	BAJFINANCE	            EQ	       2721.35	       2520.20	          7.98
07/20	BAJAJFINSV	            EQ	       6663.95	       6296.90	          5.83
07/20	SUNPHARMA	            EQ	        560.10	        544.95	          2.78
07/20	TECHM	            EQ	        659.45	        642.20	          2.69
07/20	CIPLA	            EQ	        625.80	        610.10	          2.57

07/23	UPL	            EQ	        632.10	        549.60	         15.01
07/23	VEDL	            EQ	        211.60	        202.40	          4.55
07/23	BHARTIARTL	            EQ	        358.95	        345.40	          3.92
07/23	BAJAJFINSV	            EQ	       6923.10	       6663.95	          3.89
07/23	ITC	            EQ	        284.15	        274.00	           3.7

07/24	GRASIM	            EQ	        999.55	        921.40	          8.48
07/24	HINDALCO	            EQ	        207.60	        196.15	          5.84
07/24	IBULHSGFIN	            EQ	       1258.20	       1197.15	           5.1
07/24	LT	            EQ	       1324.00	       1279.15	          3.51
07/24	ULTRACEMCO	            EQ	       4136.80	       4009.65	          3.17

07/25	IBULHSGFIN	            EQ	       1307.40	       1258.20	          3.91
07/25	SBIN	            EQ	        271.85	        266.85	          1.87
07/25	BAJAJFINSV	            EQ	       6949.50	       6827.70	          1.78
07/25	TATASTEEL	            EQ	        536.00	        527.40	          1.63
07/25	ADANIPORTS	            EQ	        398.75	        392.60	          1.57

07/26	SBIN	            EQ	        287.70	        271.85	          5.83
07/26	ICICIBANK	            EQ	        285.65	        274.65	          4.01
07/26	GRASIM	            EQ	       1024.20	        985.80	           3.9
07/26	EICHERMOT	            EQ	      28265.65	      27288.30	          3.58
07/26	POWERGRID	            EQ	        181.85	        175.65	          3.53

07/27	ITC	            EQ	        302.55	        287.20	          5.34
07/27	IOC	            EQ	        165.40	        158.80	          4.16
07/27	TATAMOTORS	            EQ	        268.15	        258.25	          3.83
07/27	TITAN	            EQ	        884.10	        854.50	          3.46
07/27	HINDALCO	            EQ	        213.40	        206.55	          3.32

07/30	BHARTIARTL	            EQ	        383.25	        364.70	          5.09
07/30	ICICIBANK	            EQ	        307.35	        293.20	          4.83
07/30	SBIN	            EQ	        297.40	        286.75	          3.71
07/30	AXISBANK	            EQ	        569.65	        553.25	          2.96
07/30	ULTRACEMCO	            EQ	       4243.35	       4124.65	          2.88

07/31	TECHM	            EQ	        680.75	        655.45	          3.86
07/31	RELIANCE	            EQ	       1186.00	       1151.40	          3.01
07/31	DRREDDY	            EQ	       2127.80	       2067.20	          2.93
07/31	HEROMOTOCO	            EQ	       3294.45	       3209.95	          2.63
07/31	HINDUNILVR	            EQ	       1731.65	       1688.70	          2.54

08/01	COALINDIA	            EQ	        270.65	        261.10	          3.66
08/01	LUPIN	            EQ	        844.20	        824.40	           2.4
08/01	INFRATEL	            EQ	        293.25	        286.65	           2.3
08/01	DRREDDY	            EQ	       2175.70	       2127.80	          2.25
08/01	IOC	            EQ	        168.00	        164.35	          2.22

08/02	LUPIN	            EQ	        864.85	        844.20	          2.45
08/02	DRREDDY	            EQ	       2227.85	       2175.70	           2.4
08/02	POWERGRID	            EQ	        188.70	        184.70	          2.17
08/02	HINDPETRO	            EQ	        292.50	        287.35	          1.79
08/02	BPCL	            EQ	        401.80	        396.00	          1.46

08/03	IBULHSGFIN	            EQ	       1377.50	       1298.55	          6.08
08/03	AXISBANK	            EQ	        574.75	        547.25	          5.03
08/03	VEDL	            EQ	        222.40	        214.15	          3.85
08/03	YESBANK	            EQ	        373.20	        361.80	          3.15
08/03	GAIL	            EQ	        388.20	        377.65	          2.79

08/06	AXISBANK	            EQ	        596.80	        574.75	          3.84
08/06	ICICIBANK	            EQ	        315.10	        305.00	          3.31
08/06	SBIN	            EQ	        308.50	        299.25	          3.09
08/06	BHARTIARTL	            EQ	        385.75	        374.50	             3
08/06	UPL	            EQ	        656.10	        641.05	          2.35

08/07	TATASTEEL	            EQ	        573.15	        553.25	           3.6
08/07	TITAN	            EQ	        927.25	        901.65	          2.84
08/07	GRASIM	            EQ	       1018.85	        999.40	          1.95
08/07	ASIANPAINT	            EQ	       1424.25	       1397.40	          1.92
08/07	BAJFINANCE	            EQ	       2747.35	       2696.25	           1.9

08/08	ONGC	            EQ	        172.50	        167.55	          2.95
08/08	RELIANCE	            EQ	       1217.70	       1184.20	          2.83
08/08	BAJFINANCE	            EQ	       2813.15	       2747.35	           2.4
08/08	ICICIBANK	            EQ	        318.70	        313.15	          1.77
08/08	INFRATEL	            EQ	        290.45	        285.90	          1.59

08/09	ICICIBANK	            EQ	        333.00	        318.70	          4.49
08/09	AXISBANK	            EQ	        621.05	        596.30	          4.15
08/09	HINDALCO	            EQ	        227.45	        220.60	          3.11
08/09	SBIN	            EQ	        317.40	        308.70	          2.82
08/09	VEDL	            EQ	        230.60	        224.80	          2.58

08/10	EICHERMOT	            EQ	      28997.70	      27438.75	          5.68
08/10	BPCL	            EQ	        401.60	        388.95	          3.25
08/10	HINDPETRO	            EQ	        286.15	        280.45	          2.03
08/10	M&M	            EQ	        945.95	        933.20	          1.37
08/10	HEROMOTOCO	            EQ	       3319.40	       3281.35	          1.16

08/13	GAIL	            EQ	        375.45	        362.95	          3.44
08/13	TECHM	            EQ	        659.95	        645.95	          2.17
08/13	SUNPHARMA	            EQ	        563.90	        554.00	          1.79
08/13	HCLTECH	            EQ	        983.00	        966.00	          1.76
08/13	INFY	            EQ	       1408.75	       1385.45	          1.68

08/14	SUNPHARMA	            EQ	        601.80	        563.90	          6.72
08/14	YESBANK	            EQ	        382.50	        370.70	          3.18
08/14	LUPIN	            EQ	        836.75	        811.95	          3.05
08/14	BAJFINANCE	            EQ	       2830.20	       2760.40	          2.53
08/14	ULTRACEMCO	            EQ	       4299.10	       4194.20	           2.5

08/16	GAIL	            EQ	        393.80	        379.80	          3.69
08/16	DRREDDY	            EQ	       2353.45	       2278.45	          3.29
08/16	SUNPHARMA	            EQ	        619.70	        601.80	          2.97
08/16	LUPIN	            EQ	        849.75	        836.75	          1.55
08/16	INFY	            EQ	       1429.55	       1408.30	          1.51

08/17	GRASIM	            EQ	       1045.85	        999.45	          4.64
08/17	YESBANK	            EQ	        393.20	        378.45	           3.9
08/17	LUPIN	            EQ	        881.25	        849.75	          3.71
08/17	SBIN	            EQ	        302.10	        292.70	          3.21
08/17	VEDL	            EQ	        215.20	        208.80	          3.07

08/20	LT	            EQ	       1323.70	       1240.15	          6.74
08/20	TATAMOTORS	            EQ	        270.10	        258.25	          4.59
08/20	ONGC	            EQ	        168.70	        163.05	          3.47
08/20	TATASTEEL	            EQ	        599.40	        580.15	          3.32
08/20	HINDALCO	            EQ	        226.65	        219.70	          3.16

08/21	UPL	            EQ	        646.20	        618.90	          4.41
08/21	TECHM	            EQ	        709.40	        687.95	          3.12
08/21	COALINDIA	            EQ	        291.40	        284.05	          2.59
08/21	GRASIM	            EQ	       1065.40	       1039.85	          2.46
08/21	LUPIN	            EQ	        888.60	        869.25	          2.23

08/23	TECHM	            EQ	        726.65	        709.40	          2.43
08/23	LT	            EQ	       1352.05	       1322.55	          2.23
08/23	DRREDDY	            EQ	       2463.60	       2410.95	          2.18
08/23	NTPC	            EQ	        164.35	        160.85	          2.18
08/23	HCLTECH	            EQ	       1025.65	       1004.60	           2.1

08/24	VEDL	            EQ	        224.05	        214.80	          4.31
08/24	ONGC	            EQ	        174.75	        171.90	          1.66
08/24	GRASIM	            EQ	       1060.30	       1045.55	          1.41
08/24	AXISBANK	            EQ	        639.90	        631.75	          1.29
08/24	ZEEL	            EQ	        510.35	        505.60	           .94

08/27	HINDALCO	            EQ	        230.25	        222.10	          3.67
08/27	POWERGRID	            EQ	        197.80	        190.95	          3.59
08/27	ICICIBANK	            EQ	        339.90	        330.15	          2.95
08/27	BHARTIARTL	            EQ	        379.15	        368.95	          2.76
08/27	TECHM	            EQ	        737.95	        718.55	           2.7

08/28	HINDALCO	            EQ	        239.00	        230.25	           3.8
08/28	ADANIPORTS	            EQ	        386.95	        378.65	          2.19
08/28	RELIANCE	            EQ	       1319.00	       1291.50	          2.13
08/28	VEDL	            EQ	        230.30	        225.50	          2.13
08/28	MARUTI	            EQ	       9427.95	       9245.25	          1.98

08/29	UPL	            EQ	        680.00	        654.15	          3.95
08/29	BAJFINANCE	            EQ	       2985.50	       2932.60	           1.8
08/29	SBIN	            EQ	        309.70	        305.35	          1.42
08/29	ONGC	            EQ	        177.00	        174.60	          1.37
08/29	BPCL	            EQ	        361.70	        358.55	           .88

08/30	SUNPHARMA	            EQ	        639.95	        621.25	          3.01
08/30	TATASTEEL	            EQ	        608.35	        594.20	          2.38
08/30	GAIL	            EQ	        376.20	        367.45	          2.38
08/30	UPL	            EQ	        696.15	        680.00	          2.38
08/30	ITC	            EQ	        319.85	        312.80	          2.25

08/31	DRREDDY	            EQ	       2492.00	       2380.15	           4.7
08/31	TECHM	            EQ	        765.80	        731.90	          4.63
08/31	LUPIN	            EQ	        931.45	        893.65	          4.23
08/31	TATAMOTORS	            EQ	        267.50	        259.35	          3.14
08/31	HCLTECH	            EQ	       1046.45	       1016.55	          2.94

09/03	DRREDDY	            EQ	       2593.40	       2492.00	          4.07
09/03	EICHERMOT	            EQ	      28885.85	      28059.75	          2.94
09/03	WIPRO	            EQ	        308.35	        301.25	          2.36
09/03	TITAN	            EQ	        912.75	        891.90	          2.34
09/03	HINDPETRO	            EQ	        257.50	        253.80	          1.46

09/04	HCLTECH	            EQ	       1076.35	       1049.15	          2.59
09/04	TECHM	            EQ	        763.90	        745.65	          2.45
09/04	TCS	            EQ	       2098.90	       2052.90	          2.24
09/04	WIPRO	            EQ	        313.35	        308.35	          1.62
09/04	AXISBANK	            EQ	        641.80	        631.80	          1.58

09/05	YESBANK	            EQ	        343.80	        334.05	          2.92
09/05	VEDL	            EQ	        229.45	        224.80	          2.07
09/05	HINDALCO	            EQ	        239.95	        235.10	          2.06
09/05	WIPRO	            EQ	        318.85	        313.35	          1.76
09/05	TATAMOTORS	            EQ	        266.50	        261.95	          1.74

09/06	RELIANCE	            EQ	       1261.40	       1227.00	           2.8
09/06	CIPLA	            EQ	        662.10	        646.55	          2.41
09/06	COALINDIA	            EQ	        283.65	        277.60	          2.18
09/06	SUNPHARMA	            EQ	        677.40	        663.75	          2.06
09/06	POWERGRID	            EQ	        199.30	        195.65	          1.87

09/07	HEROMOTOCO	            EQ	       3329.35	       3164.85	           5.2
09/07	BAJAJ-AUTO	            EQ	       2923.55	       2783.10	          5.05
09/07	BHARTIARTL	            EQ	        389.60	        372.30	          4.65
09/07	LUPIN	            EQ	        959.40	        917.95	          4.52
09/07	M&M	            EQ	        973.70	        934.95	          4.14

09/10	HCLTECH	            EQ	       1088.70	       1073.95	          1.37
09/10	AXISBANK	            EQ	        651.75	        645.55	           .96
09/10	ZEEL	            EQ	        472.75	        470.40	            .5
09/10	CIPLA	            EQ	        668.05	        664.75	            .5
09/10	GAIL	            EQ	        377.70	        377.20	           .13

09/11	COALINDIA	            EQ	        283.10	        279.60	          1.25
09/11	M&M	            EQ	        943.15	        937.35	           .62
09/11	INFY	            EQ	        734.30	        730.85	           .47
09/11	ASIANPAINT	            EQ	       1297.85	       1293.10	           .37
09/11	NTPC	            EQ	        169.75	        169.20	           .33

09/12	POWERGRID	            EQ	        193.80	        186.90	          3.69
09/12	ITC	            EQ	        306.80	        297.20	          3.23
09/12	ADANIPORTS	            EQ	        376.05	        364.65	          3.13
09/12	SUNPHARMA	            EQ	        649.90	        630.40	          3.09
09/12	HINDALCO	            EQ	        237.90	        231.60	          2.72

09/14	IBULHSGFIN	            EQ	       1227.10	       1145.10	          7.16
09/14	BPCL	            EQ	        354.50	        334.15	          6.09
09/14	VEDL	            EQ	        235.60	        223.60	          5.37
09/14	HINDPETRO	            EQ	        252.65	        240.40	           5.1
09/14	UPL	            EQ	        736.75	        703.65	           4.7

09/17	BPCL	            EQ	        364.00	        354.50	          2.68
09/17	HINDPETRO	            EQ	        258.35	        252.65	          2.26
09/17	EICHERMOT	            EQ	      29663.70	      29383.75	           .95
09/17	TECHM	            EQ	        767.55	        760.45	           .93
09/17	POWERGRID	            EQ	        201.90	        200.15	           .87

09/18	HINDUNILVR	            EQ	       1664.95	       1605.45	          3.71
09/18	YESBANK	            EQ	        323.55	        318.60	          1.55
09/18	ONGC	            EQ	        173.90	        171.70	          1.28
09/18	WIPRO	            EQ	        332.55	        329.90	            .8
09/18	DRREDDY	            EQ	       2584.15	       2568.50	           .61

09/19	BPCL	            EQ	        365.05	        355.10	           2.8
09/19	COALINDIA	            EQ	        280.65	        273.20	          2.73
09/19	GAIL	            EQ	        384.55	        374.80	           2.6
09/19	TECHM	            EQ	        769.95	        754.70	          2.02
09/19	ONGC	            EQ	        177.00	        173.90	          1.78

09/21	INFRATEL	            EQ	        281.20	        270.90	           3.8
09/21	BPCL	            EQ	        376.50	        365.05	          3.14
09/21	IOC	            EQ	        158.15	        153.55	             3
09/21	HINDPETRO	            EQ	        258.00	        251.35	          2.65
09/21	HINDALCO	            EQ	        240.40	        235.65	          2.02

09/24	TCS	            EQ	       2198.45	       2103.15	          4.53
09/24	COALINDIA	            EQ	        281.15	        275.25	          2.14
09/24	INFY	            EQ	        718.25	        705.30	          1.84
09/24	TECHM	            EQ	        751.45	        738.05	          1.82
09/24	RELIANCE	            EQ	       1232.05	       1217.50	           1.2

09/25	HDFC	            EQ	       1773.35	       1718.70	          3.18
09/25	KOTAKBANK	            EQ	       1183.35	       1148.70	          3.02
09/25	AXISBANK	            EQ	        614.35	        597.35	          2.85
09/25	SUNPHARMA	            EQ	        641.10	        624.00	          2.74
09/25	MARUTI	            EQ	       7999.45	       7793.05	          2.65

09/26	IBULHSGFIN	            EQ	        999.80	        929.65	          7.55
09/26	UPL	            EQ	        697.55	        660.95	          5.54
09/26	VEDL	            EQ	        241.55	        230.40	          4.84
09/26	TITAN	            EQ	        814.70	        796.85	          2.24
09/26	HINDALCO	            EQ	        247.95	        243.05	          2.02

09/27	INFRATEL	            EQ	        267.85	        261.50	          2.43
09/27	TCS	            EQ	       2188.85	       2142.15	          2.18
09/27	COALINDIA	            EQ	        276.25	        272.55	          1.36
09/27	ULTRACEMCO	            EQ	       4120.40	       4067.55	           1.3
09/27	INFY	            EQ	        724.80	        717.85	           .97

09/28	AXISBANK	            EQ	        613.25	        600.15	          2.18
09/28	WIPRO	            EQ	        324.00	        318.95	          1.58
09/28	ITC	            EQ	        297.75	        293.30	          1.52
09/28	HDFCBANK	            EQ	       2006.05	       1976.15	          1.51
09/28	HDFC	            EQ	       1754.50	       1729.00	          1.47

10/01	YESBANK	            EQ	        200.85	        183.65	          9.37
10/01	HINDALCO	            EQ	        242.90	        229.65	          5.77
10/01	IBULHSGFIN	            EQ	        906.10	        856.85	          5.75
10/01	TCS	            EQ	       2255.55	       2183.70	          3.29
10/01	SBIN	            EQ	        273.85	        265.50	          3.15

10/03	YESBANK	            EQ	        212.75	        200.85	          5.92
10/03	HINDALCO	            EQ	        253.75	        242.90	          4.47
10/03	IBULHSGFIN	            EQ	        943.95	        906.10	          4.18
10/03	HINDPETRO	            EQ	        251.15	        243.15	          3.29
10/03	VEDL	            EQ	        240.10	        232.65	           3.2

10/04	ICICIBANK	            EQ	        316.50	        303.70	          4.21
10/04	AXISBANK	            EQ	        586.25	        572.25	          2.45
10/04	ULTRACEMCO	            EQ	       3943.65	       3860.30	          2.16
10/04	INFRATEL	            EQ	        256.15	        251.70	          1.77
10/04	YESBANK	            EQ	        215.00	        212.75	          1.06

10/05	INFY	            EQ	        724.60	        707.20	          2.46
10/05	TITAN	            EQ	        792.10	        776.70	          1.98
10/05	TCS	            EQ	       2102.65	       2064.80	          1.83
10/05	INFRATEL	            EQ	        260.20	        256.15	          1.58
10/05	INDUSINDBK	            EQ	       1607.35	       1589.50	          1.12

10/08	HINDPETRO	            EQ	        179.20	        165.10	          8.54
10/08	YESBANK	            EQ	        221.20	        206.00	          7.38
10/08	RELIANCE	            EQ	       1109.40	       1048.85	          5.77
10/08	IOC	            EQ	        124.85	        118.05	          5.76
10/08	KOTAKBANK	            EQ	       1104.30	       1052.20	          4.95

10/09	DRREDDY	            EQ	       2454.15	       2340.10	          4.87
10/09	ADANIPORTS	            EQ	        318.75	        304.35	          4.73
10/09	ZEEL	            EQ	        432.80	        414.05	          4.53
10/09	BAJFINANCE	            EQ	       2060.85	       1974.85	          4.35
10/09	HDFC	            EQ	       1712.75	       1667.70	           2.7

10/10	BAJFINANCE	            EQ	       2270.95	       2060.85	         10.19
10/10	BAJAJFINSV	            EQ	       5961.50	       5429.10	          9.81
10/10	EICHERMOT	            EQ	      22582.35	      21085.70	           7.1
10/10	AXISBANK	            EQ	        589.20	        552.85	          6.58
10/10	ZEEL	            EQ	        459.80	        432.80	          6.24

10/11	HINDPETRO	            EQ	        207.95	        180.70	         15.08
10/11	IOC	            EQ	        131.00	        124.00	          5.65
10/11	BPCL	            EQ	        278.15	        265.40	           4.8
10/11	GAIL	            EQ	        350.25	        336.35	          4.13
10/11	ONGC	            EQ	        152.95	        148.60	          2.93

10/12	EICHERMOT	            EQ	      23903.75	      22357.45	          6.92
10/12	MARUTI	            EQ	       7287.20	       6875.50	          5.99
10/12	BAJFINANCE	            EQ	       2287.35	       2162.10	          5.79
10/12	M&M	            EQ	        768.50	        730.15	          5.25
10/12	HINDPETRO	            EQ	        218.40	        207.95	          5.03

10/15	DRREDDY	            EQ	       2566.85	       2450.50	          4.75
10/15	CIPLA	            EQ	        647.85	        622.90	          4.01
10/15	INFY	            EQ	        698.80	        678.80	          2.95
10/15	ITC	            EQ	        282.50	        275.20	          2.65
10/15	BPCL	            EQ	        296.35	        288.90	          2.58

10/16	M&M	            EQ	        777.70	        749.00	          3.83
10/16	ADANIPORTS	            EQ	        333.35	        321.25	          3.77
10/16	TECHM	            EQ	        718.70	        694.55	          3.48
10/16	ONGC	            EQ	        165.60	        160.15	           3.4
10/16	SBIN	            EQ	        270.30	        263.20	           2.7

10/17	HCLTECH	            EQ	       1024.25	       1003.40	          2.08
10/17	INFY	            EQ	        705.35	        695.25	          1.45
10/17	ITC	            EQ	        286.45	        282.65	          1.34
10/17	WIPRO	            EQ	        323.15	        319.05	          1.29
10/17	COALINDIA	            EQ	        279.90	        276.40	          1.27

10/19	HINDPETRO	            EQ	        215.90	        207.30	          4.15
10/19	SUNPHARMA	            EQ	        609.95	        593.45	          2.78
10/19	KOTAKBANK	            EQ	       1198.95	       1176.00	          1.95
10/19	INFRATEL	            EQ	        264.45	        260.00	          1.71
10/19	VEDL	            EQ	        211.10	        207.95	          1.51

10/22	IBULHSGFIN	            EQ	        713.15	        653.80	          9.08
10/22	EICHERMOT	            EQ	      22425.10	      21625.30	           3.7
10/22	ICICIBANK	            EQ	        327.10	        315.45	          3.69
10/22	HCLTECH	            EQ	        980.05	        958.50	          2.25
